overlap_key,title,date,distance_miles,recommendation,action,reason,preferred_row_if_forced_to_pick_one,alternate_row,row_a_lat,row_a_lng,row_a_display_location,row_a_borough,row_a_geocoder_source,row_a_geocoder_confidence,row_a_source_event_id,row_b_lat,row_b_lng,row_b_display_location,row_b_borough,row_b_geocoder_source,row_b_geocoder_confidence,row_b_source_event_id
7 17 restoration fridays at highland park|2026-07-17,7/17 Restoration Fridays at Highland Park,2026-07-17,0.223,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.6851386,-73.885806","40.6877236,-73.8883538",40.6851386,-73.885806,Vermont Place Parking Lot (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2165686,40.6877236,-73.8883538,Vermont Place Parking Lot in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1052076
7 25 vernal pond restoration at highland park|2026-07-25,7/25 Vernal Pond Restoration at Highland Park,2026-07-25,0.223,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.6851386,-73.885806","40.6877236,-73.8883538",40.6851386,-73.885806,Vermont Place Parking Lot (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2165684,40.6877236,-73.8883538,Vermont Place Parking Lot in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1052136
basketball clinic at highbridge recreation center ages 5 to 7|2026-07-18,Basketball Clinic at Highbridge Recreation Center (Ages: 5 to 7),2026-07-18,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8420776,-73.9267904","40.8404297,-73.9340531",40.8420776,-73.9267904,Gymnasium (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2199959,40.8404297,-73.9340531,Gymnasium in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1054016
basketball clinic at highbridge recreation center ages 5 to 7|2026-07-25,Basketball Clinic at Highbridge Recreation Center (Ages: 5 to 7),2026-07-25,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8420776,-73.9267904","40.8404297,-73.9340531",40.8420776,-73.9267904,Gymnasium (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2200101,40.8404297,-73.9340531,Gymnasium in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1054056
basketball clinic at highbridge recreation center ages 8 to 12|2026-07-18,Basketball Clinic at Highbridge Recreation Center (Ages: 8 to 12),2026-07-18,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8404297,-73.9340531","40.8420776,-73.9267904",40.8404297,-73.9340531,Gymnasium in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1054036,40.8420776,-73.9267904,Gymnasium (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2200212
basketball clinic at highbridge recreation center ages 8 to 12|2026-07-25,Basketball Clinic at Highbridge Recreation Center (Ages: 8 to 12),2026-07-25,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8404297,-73.9340531","40.8420776,-73.9267904",40.8404297,-73.9340531,Gymnasium in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1054076,40.8420776,-73.9267904,Gymnasium (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2200258
bootcamp|2026-07-16,Bootcamp,2026-07-16,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1055516,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2204156
bootcamp|2026-07-23,Bootcamp,2026-07-23,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1055536,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2204172
cardio circuit blast|2026-07-17,Cardio Circuit Blast,2026-07-17,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8404297,-73.9340531","40.8420776,-73.9267904",40.8404297,-73.9340531,Dance Room in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1056636,40.8420776,-73.9267904,Dance Room (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2151675
cardio circuit blast|2026-07-24,Cardio Circuit Blast,2026-07-24,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8404297,-73.9340531","40.8420776,-73.9267904",40.8404297,-73.9340531,Dance Room in Highbridge Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1056696,40.8420776,-73.9267904,Dance Room (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2151666
cardio dance|2026-07-21,Cardio Dance,2026-07-21,0.18,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.82419968,-73.94249725","40.8265826,-73.9411255",40.8265826,-73.9411255,Dance Room in Jackie Robinson Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1056816,40.82419968,-73.94249725,Dance Room (in Jackie Robinson Park),Mn,nyc_parks_bigapps_events_snapshot,high,2195027
celebrate shorebirds|2026-07-25,Celebrate Shorebirds,2026-07-25,1.951,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.588275354362,-73.789541244507","40.5929881,-73.7528803",40.5929881,-73.7528803,Boardwalk at Beach 60th Street (in Rockaway Beach and Boardwalk),Qn,nyc_parks_bigapps_events_snapshot,medium,2195680,40.588275354362,-73.789541244507,Rockaway Beach and Boardwalk - Boardwalk at Beach 60th Street,Qn,nyc_parks_bigapps_events_snapshot,high,1116556
chair yoga|2026-07-18,Chair Yoga,2026-07-18,0.999,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.61333466,-74.02997589","40.6266621,-74.0373854",40.61333466,-74.02997589,Ballroom (in John J Carty Park),Bk,nyc_parks_bigapps_events_snapshot,high,2156384,40.6266621,-74.0373854,Ballroom in Fort Hamilton Senior Recreation Center,Bk,nyc_parks_bigapps_events_snapshot,medium,1057796
chair yoga|2026-07-25,Chair Yoga,2026-07-25,0.999,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.61333466,-74.02997589","40.6266621,-74.0373854",40.61333466,-74.02997589,Ballroom (in John J Carty Park),Bk,nyc_parks_bigapps_events_snapshot,high,2156610,40.6266621,-74.0373854,Ballroom in Fort Hamilton Senior Recreation Center,Bk,nyc_parks_bigapps_events_snapshot,medium,1057856
dance fitness|2026-07-16,Dance Fitness,2026-07-16,0.02,dedupe_keep_higher_confidence,drop_one_row,Coordinates are within about 80 meters; treat as one venue with geocode jitter.,"40.637883828414,-73.946818290168","40.63811,-73.94706",40.63811,-73.94706,Dance Room in Shirley Chisholm Recreation Center,Bk,nyc_geosearch_planninglabs,medium,1059356,40.637883828414,-73.946818290168,Dance Room (in Nostrand Playground),Bk,nyc_parks_bigapps_events_snapshot,high,2169570
dance fitness|2026-07-23,Dance Fitness,2026-07-23,0.02,dedupe_keep_higher_confidence,drop_one_row,Coordinates are within about 80 meters; treat as one venue with geocode jitter.,"40.637883828414,-73.946818290168","40.63811,-73.94706",40.63811,-73.94706,Dance Room in Shirley Chisholm Recreation Center,Bk,nyc_geosearch_planninglabs,medium,1059396,40.637883828414,-73.946818290168,Dance Room (in Nostrand Playground),Bk,nyc_parks_bigapps_events_snapshot,high,2169563
historic new york the highbridge water tower|2026-07-26,Historic New York: The Highbridge Water Tower,2026-07-26,0.396,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.8404297,-73.9340531","40.8420776,-73.9267904",40.8404297,-73.9340531,West 174 Street and Amsterdam Avenue in Highbridge Park,Mn,nyc_parks_bigapps_events_snapshot,medium,1049916,40.8420776,-73.9267904,West 174 Street and Amsterdam Avenue (in Highbridge Park),Bx,nyc_parks_bigapps_events_snapshot,medium,2179071
hula hoop aerobics|2026-07-18,Hula Hoop Aerobics,2026-07-18,6.074,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.80502319,-73.94498444","40.8415725,-73.8393374",40.80502319,-73.94498444,Multi-Use Room B (in Marcus Garvey Park),Mn,nyc_parks_bigapps_events_snapshot,high,2208827,40.8415725,-73.8393374,Multi-Use Room B in Pelham Fritz Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1050436
hula hoop aerobics|2026-07-25,Hula Hoop Aerobics,2026-07-25,6.074,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.80502319,-73.94498444","40.8415725,-73.8393374",40.80502319,-73.94498444,Multi-Use Room B (in Marcus Garvey Park),Mn,nyc_parks_bigapps_events_snapshot,high,2208664,40.8415725,-73.8393374,Multi-Use Room B in Pelham Fritz Recreation Center,Mn,nyc_parks_bigapps_events_snapshot,medium,1050456
invasive species removal|2026-07-18,Invasive Species Removal,2026-07-18,0.481,manual_review,human_decision_required,Venue text and distance are ambiguous; human should confirm merge vs split before promotion.,"40.86869812011719,-73.93260192871094","40.8721112,-73.9245878",40.8721112,-73.9245878,Inwood Canoe Club (in Inwood Hill Park),Mn,nyc_parks_bigapps_events_snapshot,medium,2184048,40.86869812011719,-73.93260192871094,"Inwood, west end of Dyckman Street, then south through the gate and past the sailing club. in Inwood Hill Park",Mn,nyc_parks_bigapps_events_snapshot,high,1050736
inwood canoe club sunday open house|2026-07-19,Inwood Canoe Club Sunday Open House,2026-07-19,0.481,manual_review,human_decision_required,Venue text and distance are ambiguous; human should confirm merge vs split before promotion.,"40.86869812011719,-73.93260192871094","40.8721112,-73.9245878",40.86869812011719,-73.93260192871094,"Inwood, west end of Dyckman Street, then south through the gate and past the sailing club. in Inwood Hill Park",Mn,nyc_parks_bigapps_events_snapshot,high,1050856,40.8721112,-73.9245878,Inwood Canoe Club (in Inwood Hill Park),Mn,nyc_parks_bigapps_events_snapshot,medium,2190856
july book swap and upcycle paper craft|2026-07-24,July Book Swap and Upcycle Paper Craft,2026-07-24,0.387,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.588401794434,-74.139099121094","40.5883967,-74.1317297",40.588401794434,-74.139099121094,Greenbelt Nature Center - 700 Rockland Avenue at Brielle Avenue,SI,nyc_parks_bigapps_events_snapshot,high,1116476,40.5883967,-74.1317297,Greenbelt Nature Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,medium,2190733
kids in motion lower highland playground|2026-07-16,Kids In Motion: Lower Highland Playground,2026-07-16,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183527,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1074036
kids in motion lower highland playground|2026-07-17,Kids In Motion: Lower Highland Playground,2026-07-17,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183634,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1074056
kids in motion lower highland playground|2026-07-18,Kids In Motion: Lower Highland Playground,2026-07-18,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183453,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1074076
kids in motion lower highland playground|2026-07-21,Kids In Motion: Lower Highland Playground,2026-07-21,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183484,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1073696
kids in motion lower highland playground|2026-07-22,Kids In Motion: Lower Highland Playground,2026-07-22,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183461,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1073716
kids in motion lower highland playground|2026-07-23,Kids In Motion: Lower Highland Playground,2026-07-23,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183532,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1073736
kids in motion lower highland playground|2026-07-24,Kids In Motion: Lower Highland Playground,2026-07-24,0.295,merge_dedupe_keep_better_geocode,drop_one_row,Same venue wording with nearby coordinates; keep the stronger geocode and drop the duplicate row.,"40.683998107910156,-73.8855972290039","40.6877236,-73.8883538",40.683998107910156,-73.8855972290039,Lower Highland Playground (in Highland Park),Bk,nyc_parks_bigapps_events_snapshot,high,2183602,40.6877236,-73.8883538,Lower Highland Playground in Highland Park,Qn,nyc_parks_bigapps_events_snapshot,medium,1073756
